pl_name,hostname,ra,dec,sy_dist,pl_rade,pl_bmasse,pl_orbsmax
HD 74156 b,HD 74156,130.6047813,4.5772338,57.603,,563.4951919916667,0.2889483333333333
HD 74156 c,HD 74156,130.6047813,4.5772338,57.603,,2556.5687606349998,3.7424285714285714
HD 7449 b,HD 7449,18.621465,-5.0479716,38.662,,779.440627764,2.3576
HD 74698 b,HD 74698,130.0744755,-71.8768726,52.0648,,23.0,0.121
HD 74698 c,HD 74698,130.0744755,-71.8768726,52.0648,,126.0,4.5
HD 75289 b,HD 75289,131.9181715,-41.7377748,29.1158,,145.9634275,0.0478
HD 75302 b,HD 75302,132.3015641,3.4850141,30.3288,,1716.2733978,5.3
HD 76700 b,HD 76700,133.4782248,-66.8004747,60.88309999999999,,67.80373333333334,0.05003333333333334
HD 77338 b,HD 77338,135.3022475,-25.5282343,45.935,,17.4849,0.060700000000000004
HD 7924 b,HD 7924,20.4956562,76.7101475,16.9922,,350.00751991166663,0.057397500000000004
HD 7924 c,HD 7924,20.4956562,76.7101475,16.9922,,593.1239916433333,0.11275
HD 7924 d,HD 7924,20.4956562,76.7101475,16.9922,,526.9025551833333,0.15415
HD 79498 b,HD 79498,138.7885794,23.3748792,48.9489,,425.8961,3.0549999999999997
HD 80883 b,HD 80883,139.9331831,-59.4780815,34.6011,,1748.0562385,6.462
HD 80913 b,HD 80913,138.1021548,-81.768451,61.3603,,7505.2000029,9.95
HD 81040 b,HD 81040,140.9455027,20.3646078,34.4341,,2307.8617575450003,1.9535
HD 82943 b,HD 82943,143.7114034,-12.1302976,27.5902,,528.184023674,1.176612
HD 82943 c,HD 82943,143.7114034,-12.1302976,27.5902,,570.273205672,0.74167
HD 8326 b,HD 8326,20.5314418,-26.8940678,30.6862,,66.6,0.533
HD 83443 b,HD 83443,144.2994103,-43.272721,40.8991,,121.18237686714285,0.03985285714285714
HD 83443 c,HD 83443,144.2994103,-43.272721,40.8991,,476.7426105,8.0
HD 8535 b,HD 8535,20.9054804,-41.2701007,55.4401,,216.1244,2.45
HD 85390 b,HD 85390,147.5105663,-49.7905254,33.5225,,36.142156666666665,1.471
HD 85426 c,TOI-1774,148.1619305,35.111008,53.974,,10.3,
HD 8574 b,HD 8574,21.3033807,28.5660169,44.8264,,612.2927916900001,0.75925
HD 86065 b,HD 86065,148.9256674,-18.1069385,40.3661,,2877.30056857,15.947
HD 86226 b,HD 86226,149.1235154,-24.0991859,45.683,,264.584891805,2.723333333333333
HD 86226 c,HD 86226,149.1235154,-24.0991859,45.683,2.1441350000000003,7.35,0.049
HD 86728 b,HD 86728,150.250054,31.9218216,14.9202,,9.43,0.1916
HD 8673 b,HD 8673,21.5378455,34.5793389,37.8619,,4361.79536797,2.995
HD 87883 b,HD 87883,152.1794175,34.2419984,18.2912,,2030.4476595783333,3.8153999999999995
HD 88072 b,HD 88072,152.3467466,2.371054,35.9098,,2511.79790052,13.895
HD 88986 b,HD 88986,154.1166869,28.6820708,33.2673,2.49,17.2,0.58
HD 89307 b,HD 89307,154.5874958,12.6209392,32.0104,,667.10401369,3.4123666666666668
HD 89744 b,HD 89744,155.5433193,41.2289354,38.6364,,2617.7868333333336,0.915
HD 89839 b,HD 89839,155.168879,-53.6640291,57.3063,,1547.4960684925,4.796
HD 90156 b,HD 90156,155.9801144,-29.645103,21.9496,,14.885716949999999,0.25045
HD 92788 b,HD 92788,160.7021351,-2.1847173,34.6538,,1148.95451544,0.9583333333333334
HD 92788 c,HD 92788,160.7021351,-2.1847173,34.6538,,1029.766961835,9.379999999999999
HD 93083 b,HD 93083,161.0866672,-33.5776794,28.5159,,117.59,0.477
HD 93351 b,HD 93351,161.6779279,-1.6885763,56.163,,3.49611248,0.035
HD 93351 c,HD 93351,161.6779279,-1.6885763,56.163,,4154.01727949,11.154
HD 93385 b,HD 93385,161.5627065,-41.464604,43.3475,,4.2,0.0756
HD 93385 c,HD 93385,161.5627065,-41.464604,43.3475,,7.1,0.112
HD 93385 d,HD 93385,161.5627065,-41.464604,43.3475,,8.7,0.2565
HD 9446 b,HD 9446,23.3350424,29.2649187,50.3503,,222.472,0.189
HD 9446 c,HD 9446,23.3350424,29.2649187,50.3503,,578.426,0.654
HD 94771 b,HD 94771,163.9746776,-35.1145225,57.7807,,169.0,3.48
HD 94890 b,HD 94890,164.1797804,-37.1383035,61.7012,,676.97450691,2.07
HD 94890 c,HD 94890,164.1797804,-37.1383035,61.7012,,2831.85110637,4.33
HD 95338 b,HD 95338,164.8563364,-56.6235564,36.9941,4.169533135,42.67,0.2705
HD 95735 c,GJ 411,165.834471,35.972317,5.675773,,16.78421784,2.936666666666667
HD 96700 b,HD 96700,166.9742616,-30.1751383,25.4111,,8.9,0.0777
HD 96700 c,HD 96700,166.9742616,-30.1751383,25.4111,,3.5,0.141
HD 96700 d,HD 96700,166.9742616,-30.1751383,25.4111,,12.7,0.424
HD 97037 b,HD 97037,167.5545621,-7.3901483,32.413,,6707.76852973,6.925
HD 97658 b,HD 97658,168.6376584,25.7105962,21.5618,2.2975483333333333,8.065777335,0.0808
HD 98649 b,HD 98649,170.2147665,-23.2181063,42.1727,,2516.87756725,6.109249999999999
HD 98736 b,HD 98736,170.4549045,18.1896082,32.4459,,740.5439,1.864
HD 99109 b,HD 99109,171.0715576,-1.529761,54.7901,,149.99862164,1.1123333333333334
HD 99492 b,HD 99492,171.689687,3.0071331,18.2038,,28.20471414714286,0.12169333333333333
HD 99492 c,HD 99492,171.689687,3.0071331,18.2038,,17.9,
HIP 107772 b,HIP 107772,327.4977057,-41.2440371,23.6434,,12.9,0.243
HIP 109384 b,HIP 109384,332.408972,71.313956,58.9582,,495.8148,1.134
HIP 113103 b,HIP 113103,343.5723794,-43.0102291,46.2122,1.829,,0.06899
HIP 113103 c,HIP 113103,343.5723794,-43.0102291,46.2122,3.041045,,0.10479
HIP 116454 b,HIP 116454,353.9543517,0.4447043,62.4491,2.5177699999999996,11.0833,0.08248333333333334
HIP 12961 b,HIP 12961,41.6800749,-23.0860048,23.371,,112.82965,0.25
HIP 14810 b,HIP 14810,47.809275,21.0971302,50.48,,1202.0220000000002,0.06944
HIP 14810 c,HIP 14810,47.80927499999999,21.0971302,50.48,,354.9065666666667,0.5003333333333334
HIP 14810 d,HIP 14810,47.809275,21.0971302,50.48,,184.3414,1.915
HIP 18606 b,HIP 18606,59.7181058,-5.4706979,47.0288,,244.72787339,1.61
HIP 19976 b,HIP 19976,64.2597881,-40.7985198,40.2707,,21.61233168,0.234
HIP 21152 b,HIP 21152,68.0205209,5.4100745,43.4073,,8231.7557413,17.25
HIP 34222 b,HIP 34222,106.4257786,27.4704132,22.8386,,263.79757781,0.492
HIP 35173 b,HIP 35173,109.0449329,-3.6661273,33.1562,,12.7,0.217
HIP 35965 b,HIP 35965,111.2025182,-51.3257507,50.1677,,2589.98368864,15.898
HIP 38594 b,HIP 38594,118.5439118,-25.3023073,17.7886,,8.1,0.256
HIP 38594 c,HIP 38594,118.5439118,-25.3023073,17.7886,,48.4,3.805
HIP 4845 b,HIP 4845,15.5881733,-10.4246208,21.0974,,14.4,0.176
HIP 48714 b,HIP 48714,149.0332672,62.7859505,10.5298,,22.9,0.112
HIP 5158 b,HIP 5158,16.5094891,-22.4536134,51.6026,,404.5973333333333,0.89
HIP 5158 c,HIP 5158,16.5094891,-22.4536134,51.6026,,4780.1632,7.7
HIP 54373 b,HIP 54373,166.8643532,-19.2916857,18.7168,,8.62,0.063
HIP 54373 c,HIP 54373,166.8643532,-19.2916857,18.7168,,12.44,0.099
HIP 54597 b,HIP 54597,167.6082179,-29.4143018,39.7429,,700.8940884,3.9050000000000002
HIP 55507 b,HIP 55507,170.5227246,46.907803,25.4893,,2585.53409095,5.062
HIP 57274 b,HIP 57274,176.1705487,30.9576484,25.8618,,847.2507154975,0.07
HIP 57274 c,HIP 57274,176.1705487,30.9576484,25.8618,,130.0,0.178
HIP 57274 d,HIP 57274,176.1705487,30.9576484,25.8618,,167.4,1.01
HIP 5763 b,HIP 5763,18.495343,16.4942738,31.9043,,162.09248757,0.17
HIP 65 A b,HIP 65 A,0.1856063,-54.8308228,61.7856,14.335281165000001,979.390795325,0.017410000000000002
HIP 65407 b,HIP 65407,201.087663,48.8847322,61.7804,,136.03124,0.177
HIP 65407 c,HIP 65407,201.087663,48.8847322,61.7804,,249.17872,0.316
HIP 66074 b,HIP 66074,203.1635632,75.0071038,35.4438,,1589.142035,0.799
HIP 67851 b,HIP 67851,208.465364,-35.3146536,64.1181,,427.58534203,0.4475
HIP 67851 c,HIP 67851,208.465364,-35.3146536,64.1181,,1730.942128977143,4.1975999999999996
HIP 70849 b,HIP 70849,217.3270762,-46.464684,24.057200000000005,,1912.1156944499999,9.425666666666666
HIP 71135 b,HIP 71135,218.2158073,-52.6464757,32.3311,,18.8,0.335
HIP 79431 b,HIP 79431,243.1742467,-18.8764247,14.5324,,667.415,0.36
HIP 86221 b,HIP 86221,264.294875,27.896391,29.4898,,225.65816897,0.031
HIP 91258 b,HIP 91258,279.2211173,61.7015065,45.8846,,342.93135,0.058499999999999996
HIP 94235 b,HIP 94235,287.7411441,-60.27263580000001,58.5146,3.0703460133333333,379.0,0.0787
HIP 948 b,HIP 948,2.9276336,-39.2304879,34.8523,,6547.2651842,15.037
HIP 99770 b,HIP 99770,303.6338344,36.8066046,40.0765,,5260.060135850001,16.35
HN Lib b,HN Lib,218.5684823,-12.5170062,6.24442,,5.46,0.1417
HN Peg b,HN Peg,326.1315705,14.7714524,18.1186,11.7768,6991.57,773.0
HR 2562 b,HR 2562,102.5042716,-60.2486775,34.0071,12.44199,6865.1174862,23.65
HR 5183 b,HR 5183,206.7357992,6.349899400000001,31.4607,,1027.6468977633333,21.933333333333334
HR 810 b,HR 810,40.6417178,-50.7993484,17.3181,,951.45678468,0.9337500000000001
HR 858 b,HR 858,42.9849779,-30.8140609,31.964,1.95347,3.55,0.04844
HR 858 c,HR 858,42.9849779,-30.8140609,31.964,2.103257823333333,3.8,0.06805
HR 858 d,HR 858,42.9849779,-30.8140609,31.964,2.080155486666667,7.1,0.10364999999999999
HR 8799 b,HR 8799,346.8701486,21.1340376,41.2441,9.8627,2000.0,68.65333333333332
HR 8799 c,HR 8799,346.8701486,21.1340376,41.2441,12.1045,3000.0,39.60333333333333
HR 8799 d,HR 8799,346.8701486,21.1340376,41.2441,11.54405,3000.0,25.485
HR 8799 e,HR 8799,346.8701486,21.1340376,41.2441,11.601315,3178.3,15.963333333333333
HS Psc b,HS Psc,24.347379,26.9528036,37.6604,,464.02947422,0.0435
K2-116 b,K2-116,336.1523363,-11.5793181,49.3855,0.7409641066666666,,0.048
K2-129 b,K2-129,289.1485491,-25.6463233,27.7957,0.8505,,0.057
K2-136 b,K2-136,67.4128615,22.8825674,59.2474,1.018,4.3,0.0707
K2-136 c,K2-136,67.4128615,22.8825674,59.2474,3.1615,18.1,0.11789
K2-136 d,K2-136,67.4128615,22.8825674,59.2474,1.5216666666666665,3.0,0.1538
K2-141 b,K2-141,350.9170464,-1.1891827,61.873599999999996,1.5402580000000001,5.13,0.007315
K2-141 c,K2-141,350.9170464,-1.1891827,61.8736,7.0,7.7,0.0683
K2-18 b,K2-18,172.560141,7.587831500000001,38.0266,2.2723629389999997,8.1775,0.14793333333333333
K2-18 c,K2-18,172.560141,7.5878315,38.0266,,7.51,0.06
K2-239 b,K2-239,160.5941265,4.4413751,31.0849,1.1,,0.0441
K2-239 c,K2-239,160.5941265,4.4413751,31.0849,1.0,,0.0576
K2-239 d,K2-239,160.5941265,4.4413751,31.0849,1.1,,0.0685
K2-25 b,K2-25,63.2739346,15.2477027,44.9565,3.692773106666667,24.5,0.0287
K2-257 b,K2-257,188.278284,-1.9532879,64.0065,0.83,,0.0216
K2-28 b,K2-28,335.6233145,-7.9563525,62.9969,2.204210555714286,,0.019825
K2-3 b,K2-3,172.3353708,-1.4551364,44.0727,2.0542047585714287,6.805714285714286,0.07542499999999999
K2-3 c,K2-3,172.3353708,-1.4551364,44.0727,1.6312307692307693,2.8085714285714287,0.1370875
K2-3 d,K2-3,172.3353708,-1.4551364,44.0727,1.4756666666666665,4.25715261,0.20398571428571427
K2-315 b,K2-315,228.0210932,-20.1081634,56.9686,0.95,,
K2-400 b,K2-400,154.5110307,3.6969271,62.3804,1.163,,
K2-415 b,K2-415,137.2015437,11.8622503,21.8182,1.0583812,7.5,0.027
K2-91 b,K2-91,63.2182348,24.2047218,62.5785,1.1666666666666667,,0.0172
KOBE-1 b,KOBE-1,19.1660378,25.3310358,23.9718,,8.8,0.07006
KOBE-1 c,KOBE-1,19.1660378,25.3310358,23.9718,,12.4,0.16071
Kapteyn c,Kapteyn,77.9586613,-45.0430198,3.93305,,7.0,0.311
Kepler-37 b,Kepler-37,284.0592503,44.5183733,63.9207,0.2965554981818182,4.6560999999999995,0.10154712461428571
Kepler-37 c,Kepler-37,284.0592503,44.5183733,63.9207,0.7225384615384616,6.65,0.13902996481111113
Kepler-37 d,Kepler-37,284.0592503,44.5183733,63.92069999999999,1.9289255813333333,25.566666666666666,0.21093917466666667
Kepler-37 e,Kepler-37,284.0592503,44.5183733,63.9207,0.37,8.1,0.248
Kepler-42 b,Kepler-42,292.2196,44.6173667,40.0595,1.1294545454545455,0.705944,0.012475714285714284
Kepler-42 c,Kepler-42,292.2196,44.6173667,40.0595,1.378,60.337,0.00658
Kepler-42 d,Kepler-42,292.2196,44.6173667,40.0595,1.097909090909091,0.357785,0.016550000000000002
Kepler-444 b,Kepler-444,289.7528323,41.631884,36.4396,0.40804545166666667,,0.04023321594
Kepler-444 c,Kepler-444,289.7528323,41.631884,36.4396,9.83334189,,0.04679569573333334
Kepler-444 d,Kepler-444,289.7528323,41.631884,36.4396,8.212026922222222,0.2,0.05746923325
Kepler-444 e,Kepler-444,289.7528323,41.631884,36.4396,10.068778021111111,0.1,0.06673797691666666
Kepler-444 f,Kepler-444,289.7528323,41.631884,36.4396,11.962909204999999,,0.0777704246
L 168-9 b,L 168-9,350.0285917,-60.0657292,25.1496,1.4938951033333332,4.335,0.020855
L 363-38 b,L 363-38,10.8555443,-41.2952926,10.2295,,4.67,0.048
L 98-59 b,L 98-59,124.5328604,-68.3144658,10.6194,0.8329391666666667,0.532,0.022534
L 98-59 c,L 98-59,124.53286040000002,-68.3144658,10.6194,1.3542157142857145,2.2550000000000003,0.031287999999999996
L 98-59 d,L 98-59,124.53286040000002,-68.3144658,10.6194,1.7841828571428573,2.035,0.050039999999999994
L 98-59 e,L 98-59,124.5328604,-68.3144658,10.6194,,2.9333333333333336,0.07136666666666668
L 98-59 f,L 98-59,124.5328604,-68.3144658,10.6194,,2.885,0.10525000000000001
LHS 1140 b,LHS 1140,11.248632,-15.274108500000002,14.9861,1.673189062,6.4025,0.09285
LHS 1140 c,LHS 1140,11.248632,-15.2741085,14.986099999999999,1.3222484300000001,1.8266666666666669,0.02703
LHS 1478 b,LHS 1478,44.3388743,76.5514045,18.2276,1.3174608650000001,2.33,0.01848
LHS 1678 b,LHS 1678,68.1789866,-39.7908744,19.8782,0.7842931633333333,0.35,0.01245
LHS 1678 c,LHS 1678,68.1789866,-39.7908744,19.8782,0.9886135666666666,1.4,0.0329
LHS 1678 d,LHS 1678,68.1789866,-39.7908744,19.8782,0.91884623,,0.04
LHS 1815 b,LHS 1815,91.0899861,-55.3115376,29.8424,1.09690543,5.14,0.0404
LHS 1903 b,LHS 1903,107.865826,48.3279327,35.6917,1.4300449999999998,3.28,0.02656
LHS 1903 c,LHS 1903,107.865826,48.3279327,35.6917,2.40062,4.55,0.05387
LHS 1903 d,LHS 1903,107.865826,48.3279327,35.6917,2.46795,5.96,0.08604
LHS 1903 e,LHS 1903,107.865826,48.3279327,35.6917,1.732,5.79,0.15135
LHS 3154 b,LHS 3154,241.6367309,40.9068221,15.7606,,13.15,0.02262
LHS 3844 b,LHS 3844,340.4962038,-69.1721081,14.8846,1.3150076866666667,2.37,0.006229999999999999
LHS 475 b,LHS 475,290.2379403,-82.5597883,12.4814,1.0022651366666666,,0.02037
LP 261-75 b,LP 261-75 A,147.7685281,35.9685562,33.928,,6674.396547,450.0
LP 714-47 b,LP 714-47,64.1902212,-12.0848643,52.616,4.826156675,30.8,0.0417
LP 791-18 b,LP 791-18,165.6904843,-16.4064445,26.4927,1.1748797366666668,,0.009735
LP 791-18 c,LP 791-18,165.6904843,-16.4064445,26.492699999999996,2.4569739333333334,7.12,0.030028
LP 791-18 d,LP 791-18,165.6904843,-16.4064445,26.4927,1.032,0.905,0.01992
LP 890-9 b,LP 890-9,64.1309096,-28.3157909,32.4298,1.335680315,13.2,0.01875
LP 890-9 c,LP 890-9,64.1309096,-28.3157909,32.4298,1.367,25.3,0.03984
LSPM J2116+0234 b,LSPM J2116+0234,319.1147513,2.5807711,17.6297,,13.3,0.0876
LTT 1445 A b,LTT 1445 A,45.4624781,-16.5944956,6.86929,1.3467359016666667,2.5300000000000002,0.03366
LTT 1445 A c,LTT 1445 A,45.4624781,-16.5944956,6.86929,1.2723333333333333,1.3033333333333335,0.02526666666666667
LTT 3780 b,LTT 3780,154.6449033,-11.717801,21.9814,1.29352894,2.4725,0.012029999999999999
LTT 3780 c,LTT 3780,154.6449033,-11.717801,21.981399999999997,2.347358874,7.4875,0.07621
PZ Tel b,PZ Tel,283.2745823,-50.1808952,47.0648,,8581.366989,27.0
Proxima Cen b,Proxima Cen,217.39346570000004,-62.67618209999999,1.30119,,1.09875,0.048385
Proxima Cen d,Proxima Cen,217.3934657,-62.6761821,1.30119,,0.26,0.02883
RR Cae b,RR Cae,65.2733756,-48.6542601,21.1916,,1334.886,5.3
Ross 128 b,Ross 128,176.9376036,0.7992898,3.37454,,1.4,0.0496
Ross 176 b,Ross 176,305.6897438,47.3086191,46.4488,2.032235,4.57,0.0464
Ross 458 c,Ross 458,195.1912147,12.3755996,11.5094,14.01125,1906.98,1100.0
Ross 508 b,Ross 508,230.9613022,17.4605347,11.2103,,4.0,0.05366
TIC 231949697 b,TIC 231949697,94.2576817,-43.3661845,50.2408,1.63068799,,
TOI-1011 b,TOI-1011,113.9847611,-32.8419988,52.62,1.44828,4.04,
TOI-1075 b,TOI-1075,309.9712091,-65.4496994,61.4592,1.8158192199999998,9.95,0.011695
TOI-1080 b,TOI-1080,276.3683249,-52.214573,25.559,1.2152551,10.7,0.0272
TOI-1130 b,TOI-1130,286.3760037,-41.4376399,58.26090000000001,3.65620833,19.54,0.04460333333333333
TOI-1130 c,TOI-1130,286.3760037,-41.4376399,58.2609,14.21787421,319.88749369749996,0.07199666666666667
TOI-1184 b,TOI-1184,272.2045196,60.6787845,58.5946,2.3689489625,6.8,0.0560135
TOI-1201 b,TOI-1201,42.2476999,-14.5372835,37.8871,2.316879255,6.28,0.0287
TOI-1203 b,TOI-1203,168.2267358,-34.4069371,64.9943,1.52,3.51,0.04869
TOI-1203 c,TOI-1203,168.2267358,-34.4069371,64.9943,,5.46,
TOI-1203 e,TOI-1203,168.2267358,-34.4069371,64.9943,,42.1,
TOI-1203.01,TOI-1203,168.2267358,-34.4069371,64.9943,3.2140486999999998,7.39,0.1632
TOI-122 b,TOI-122,332.9482355,-58.946085000000004,62.118,2.6773881700000004,,0.0392
TOI-1224 b,TOI-1224,37.1978356,-80.8991053,37.3312,2.10319269,,0.0355
TOI-1224 c,TOI-1224,37.1978356,-80.8991053,37.3312,3.13395621,,
TOI-1231 b,TOI-1231,156.74726,-52.4678724,27.6227,3.764284,15.4,0.1288
TOI-1233.01,HD 108236,186.5740627,-51.3630519,64.5978,2.7680410325,,0.11025
TOI-1235 b,TOI-1235,152.2182549,69.2766204,39.6345,1.7817375,6.5,0.038355
TOI-1243 b,TOI-1243,135.7326412,71.6364158,43.1865,2.2630753649999997,7.7,
TOI-1266 b,TOI-1266,197.9965833,65.8336973,36.0118,2.48742828,9.5225,0.073475
TOI-1266 c,TOI-1266,197.9965833,65.8336973,36.0118,1.8508456460000002,3.6625,0.1048
TOI-1266 d,TOI-1266,197.9965833,65.8336973,36.0118,,4.135,0.15065
TOI-139 b,TOI-139,336.4024144,-34.9097131,42.4061,2.3951824,,
TOI-1411 b,TOI-1411,232.946047,47.0555507,32.4778,1.3209353066666667,2.0,0.022109999999999998
